email;faculty_code;department_code
m.temov@teachers.tou.edu.kz;FAC03;DEP12
d.ulbayev2@teachers.tou.edu.kz;FAC03;DEP13
t.shadzhanov@teachers.tou.edu.kz;FAC03;DEP14
s.kaibekuly@teachers.tou.edu.kz;FAC03;DEP15
zh.nurov@teachers.tou.edu.kz;FAC04;DEP16
zh.murev@teachers.tou.edu.kz;FAC04;DEP17
t.bekdinov@teachers.tou.edu.kz;FAC04;DEP18
e.nurzhanov@teachers.tou.edu.kz;FAC04;DEP19
t.balov@teachers.tou.edu.kz;FAC04;DEP20
k.gazgulov@teachers.tou.edu.kz;FAC05;DEP21
k.dosgulov@teachers.tou.edu.kz;FAC05;DEP22
s.balgulov@teachers.tou.edu.kz;FAC05;DEP23
t.dosdinov@teachers.tou.edu.kz;FAC05;DEP24
m.nursultanov@teachers.tou.edu.kz;FAC05;DEP25
zh.dosov@teachers.tou.edu.kz;FAC06;DEP26
k.gazev@teachers.tou.edu.kz;FAC06;DEP27
k.erdinov@teachers.tou.edu.kz;FAC06;DEP28
m.balev@teachers.tou.edu.kz;FAC06;DEP29
s.kaisultanov@teachers.tou.edu.kz;FAC06;DEP30
m.bekdinov@teachers.tou.edu.kz;FAC07;DEP31
t.nurdinov@teachers.tou.edu.kz;FAC07;DEP32
b.bekzhanov@teachers.tou.edu.kz;FAC07;DEP33
e.gazbekuly2@teachers.tou.edu.kz;FAC07;DEP34
zh.kaiev@teachers.tou.edu.kz;FAC07;DEP35
n.salbekuly@teachers.tou.edu.kz;FAC01;DEP01
e.murbayev@teachers.tou.edu.kz;FAC01;DEP02
s.aitbekuly@teachers.tou.edu.kz;FAC01;DEP03
zh.bekbayev@teachers.tou.edu.kz;FAC01;DEP04
k.zhanev@teachers.tou.edu.kz;FAC01;DEP05
s.erev@teachers.tou.edu.kz;FAC02;DEP06
sgrp01.balgulov@teachers.tou.edu.kz;FAC08;DEP36
sgrp02.dosov@teachers.tou.edu.kz;FAC08;DEP37
sgrp03.erev@teachers.tou.edu.kz;FAC08;DEP38
sgrp04.zhansultanov@teachers.tou.edu.kz;FAC08;DEP39
sgrp05.kaibekuly@teachers.tou.edu.kz;FAC08;DEP40
sgrp06.murdinov@teachers.tou.edu.kz;FAC08;DEP36
